Run, Time Trad, Time ToA,,, Time First ASP, Time Second ASP, Plan Length Trad, Activity Length ToA, New Activity, Activity Name, Number Activities, Conditions Index, Goal,Goal Holds
163,1.666033,32.341751,FALSE,14.9296979264,25.664361,6.676651,13,13,True,86,86,118,tidy_all(library),False
164,0.28585,29.382942,FALSE,15.0178274634,29.382566,0,7,13,False,6,86,122,tidy_all(library),False
165,1.367383,21.431683,FALSE,15.0566993152,18.028267,3.402637,8,8,True,87,87,84,tidy_all(library),False
166,0.23305,19.601752,FALSE,15.0840791506,19.601384,0,5,11,False,65,87,40,tidy_all(library),False
167,1.286938,29.594928,FALSE,15.1709704611,29.594572,0,15,15,False,24,87,8,tidy_all(library),False
168,2.442932,19.805588,FALSE,15.1985574702,19.805296,0,11,11,False,65,87,36,tidy_all(library),False
169,1.668156,31.857233,FALSE,15.2971295148,31.856833,0,13,13,False,86,87,118,tidy_all(library),False
170,0.871406,41.016378,FALSE,15.4484192118,41.016034,0,17,17,False,64,87,108,tidy_all(library),False
171,0.443513,23.598751,FALSE,15.4960819708,21.112197,2.485693,6,6,True,88,88,24,tidy_all(library),False
172,0.272984,27.20498,FALSE,15.5641569593,27.204639,0,5,9,False,31,88,10,tidy_all(library),False
173,4.443215,65.894431,FALSE,15.8550833988,39.534113,26.35954,12,12,True,89,89,192,tidy_all(library),False
174,1.702743,21.982753,FALSE,15.8902998908,21.982402,0,13,13,False,21,89,87,tidy_all(library),False
175,2.428877,38.718916,FALSE,16.0207491257,38.718548,0,13,15,False,77,89,153,tidy_all(library),False
176,1.200539,31.54898,FALSE,16.1089777102,31.548602,0,16,16,False,72,89,182,tidy_all(library),False
177,2.302686,38.544741,FALSE,16.235733435,38.544394,0,10,16,False,84,89,190,tidy_all(library),False
178,0.704244,33.394666,FALSE,16.3321319326,33.394319,0,18,18,False,69,89,183,tidy_all(library),False
179,2.578693,16.906146,FALSE,16.3353387151,16.905852,0,9,9,False,36,89,97,tidy_all(library),False
180,0.228214,11.194565,FALSE,16.3067788611,11.194284,0,0,0,False,0,89,150,tidy_all(library),True
181,1.193297,32.118941,FALSE,16.3941388729,32.118573,0,16,16,False,72,89,182,tidy_all(library),False
182,0.873718,41.589282,FALSE,16.5325737253,41.588909,0,17,17,False,64,89,108,tidy_all(library),False
183,5.945183,37.730136,FALSE,16.6484073989,37.729798,0,10,12,False,50,89,179,tidy_all(library),False
184,0.988901,36.808815,FALSE,16.7579748315,36.808385,0,16,16,False,23,89,178,tidy_all(library),False
185,0.235215,18.53617,FALSE,16.7675866973,18.535831,0,5,13,False,83,89,40,tidy_all(library),False
186,2.697582,32.411127,FALSE,16.8516917527,32.410761,0,14,16,False,72,89,132,tidy_all(library),False
187,0.820823,32.766409,FALSE,16.9367971925,28.247385,4.518256,17,17,True,90,90,112,tidy_all(library),False
188,3.081407,24.637967,FALSE,16.9777608617,24.637607,0,10,10,False,57,90,14,tidy_all(library),False
189,0.236222,38.371255,FALSE,17.0909539524,38.370896,0,5,11,False,11,90,121,tidy_all(library),False
190,1.191534,35.758083,FALSE,17.189202,35.757708,0,17,17,False,33,90,163,tidy_all(library),False
191,0.437067,35.702788,FALSE,17.2861317696,35.702481,0,4,12,False,66,90,55,tidy_all(library),False
192,1.814384,29.144888,FALSE,17.347896125,23.883632,5.260477,10,10,True,91,91,22,tidy_all(library),False
193,3.090434,31.534507,FALSE,17.4214018808,31.534159,0,10,10,False,57,91,14,tidy_all(library),False
194,1.743027,23.577252,FALSE,17.453133067,17.699129,5.877376,12,12,True,92,92,43,tidy_all(library),False
195,2.091882,35.29453,FALSE,17.5446274103,29.421719,5.872024,14,14,True,93,93,128,tidy_all(library),False
196,0.321307,32.715524,FALSE,17.6220299439,32.715166,0,8,14,False,93,93,148,tidy_all(library),False
197,1.553245,23.953404,FALSE,17.6541688985,16.930656,7.022036,14,14,True,94,94,62,tidy_all(library),False
198,0.313384,19.498728,FALSE,17.6634848535,19.49839,0,5,5,False,58,94,99,tidy_all(library),False
199,0.869329,37.088213,FALSE,17.7610965528,37.087898,0,17,17,False,64,94,108,tidy_all(library),False
200,3.713143,26.733905,FALSE,17.805960595,26.733581,0,12,12,False,40,94,2,tidy_all(library),False
201,0.290689,21.523946,FALSE,17.8244580348,18.807657,2.715541,7,7,True,95,95,96,tidy_all(library),False
202,2.412227,41.259964,FALSE,17.9404753911,32.067625,9.191563,14,14,True,96,96,181,tidy_all(library),False
203,1.52581,41.94661,FALSE,18.0587322118,41.946263,0,9,13,False,32,96,115,tidy_all(library),False
204,1.763187,26.066401,FALSE,18.0979854902,26.066066,0,8,8,False,73,96,21,tidy_all(library),False
205,0.28558,24.371595,FALSE,18.1285884634,24.371273,0,6,6,False,52,96,130,tidy_all(library),False
206,0.278823,34.501314,FALSE,18.2080677136,34.500977,0,5,5,False,3,96,105,tidy_all(library),False
207,4.268529,33.452066,FALSE,18.2817102174,33.451721,0,11,11,False,27,96,109,tidy_all(library),False
208,2.410331,43.017215,FALSE,18.4006309135,43.016885,0,14,14,False,96,96,181,tidy_all(library),False
209,0.275922,30.032236,FALSE,18.4562845263,30.031931,0,5,5,False,81,96,120,tidy_all(library),False
210,3.787578,34.40033,FALSE,18.5322085524,34.399984,0,9,11,False,56,96,104,tidy_all(library),False
211,1.052416,26.378779,FALSE,18.56939609,21.775847,4.602135,14,14,True,97,97,83,tidy_all(library),False
212,0.658854,25.564988,FALSE,18.6023941651,21.455663,4.108536,8,8,True,98,98,41,tidy_all(library),False
213,3.320673,38.140061,FALSE,18.6941203005,38.139694,0,13,13,False,71,98,151,tidy_all(library),False
214,4.28102,41.652452,FALSE,18.8014022243,41.652095,0,12,12,False,63,98,131,tidy_all(library),False
215,2.580119,21.97357,FALSE,18.816156493,21.973227,0,9,9,False,36,98,97,tidy_all(library),False
216,3.760143,21.776137,FALSE,18.8298601065,21.775754,0,9,9,False,43,98,16,tidy_all(library),False
217,2.70218,43.757373,FALSE,18.9447334378,43.756991,0,14,16,False,72,98,132,tidy_all(library),False
218,1.694519,26.626548,FALSE,18.9799711193,26.62616,0,13,13,False,21,98,87,tidy_all(library),False
219,1.037402,40.010831,FALSE,19.0760024429,40.010507,0,16,16,False,84,98,186,tidy_all(library),False
220,2.146268,50.624776,FALSE,19.2194059591,50.624377,0,14,14,False,34,98,189,tidy_all(library),False
221,0.279951,42.250953,FALSE,19.3236211041,42.25046,0,5,5,False,3,98,105,tidy_all(library),False
222,2.720751,48.420165,FALSE,19.4546866171,48.41973,0,11,11,False,22,98,168,tidy_all(library),False
223,5.284792,25.270145,FALSE,19.4807649058,25.269779,0,11,11,False,25,98,27,tidy_all(library),False
224,1.552286,35.301523,FALSE,19.5513932902,35.301163,0,9,13,False,32,98,115,tidy_all(library),False
225,0.2259,19.029267,FALSE,19.5490727289,19.028885,0,1,12,False,1,98,50,tidy_all(library),False
226,5.447392,29.351811,FALSE,19.592447677,29.351435,0,9,11,False,35,98,66,tidy_all(library),False
227,2.146498,46.801016,FALSE,19.7123092115,38.68766,8.112621,12,12,True,99,99,143,tidy_all(library),False
228,1.036411,42.124216,FALSE,19.8106070482,42.123869,0,16,16,False,84,99,186,tidy_all(library),False
229,3.378004,28.950498,FALSE,19.8505192358,28.950111,0,8,8,False,41,99,54,tidy_all(library),False
230,1.330686,19.608272,FALSE,19.849465987,19.607873,0,12,12,False,80,99,73,tidy_all(library),False
231,2.310051,40.423241,FALSE,19.9385299481,40.422878,0,10,16,False,84,99,190,tidy_all(library),False
232,0.262523,30.541611,FALSE,19.9842328836,30.541285,0,6,12,False,28,99,146,tidy_all(library),False
233,2.727891,49.720754,FALSE,20.1118574378,49.720313,0,11,11,False,22,99,168,tidy_all(library),False
234,0.262715,30.716459,FALSE,20.1571762479,30.71614,0,6,12,False,28,99,146,tidy_all(library),False
235,0.327654,19.625165,FALSE,20.1549123702,19.624791,0,5,5,False,58,99,99,tidy_all(library),False
236,4.352296,55.515837,FALSE,20.3047467966,39.207631,16.307364,12,12,True,100,100,184,tidy_all(library),False
237,2.409373,42.482494,FALSE,20.398323789,42.482106,0,13,15,False,77,100,153,tidy_all(library),False
238,2.183026,24.772639,FALSE,20.4167032647,24.772276,0,11,11,False,14,100,48,tidy_all(library),False
239,0.294566,33.174491,FALSE,20.4700831297,30.440962,2.732678,6,6,True,101,101,149,tidy_all(library),False
240,0.234985,21.903141,FALSE,20.4760542042,21.902763,0,5,13,False,21,101,90,tidy_all(library),False
241,0.276512,34.769214,FALSE,20.5353619212,34.768835,0,5,15,False,24,101,10,tidy_all(library),False
242,0.414313,28.138015,FALSE,20.566777843,28.137655,0,7,11,False,56,101,155,tidy_all(library),False
243,1.042199,24.538078,FALSE,20.583120642,19.803411,4.733872,14,14,True,102,102,33,tidy_all(library),False
244,2.675318,33.009315,FALSE,20.634047668,33.008966,0,11,13,False,55,102,17,tidy_all(library),False
245,4.429745,51.818769,FALSE,20.7613322449,51.818427,0,12,12,False,89,102,192,tidy_all(library),False
246,1.308438,43.853918,FALSE,20.8552045447,43.853487,0,14,16,False,30,102,3,tidy_all(library),False
247,0.294141,28.53181,FALSE,20.886283919,28.531365,0,6,6,False,54,102,94,tidy_all(library),False
248,3.590781,40.685354,FALSE,20.966118879,40.685,0,12,12,False,59,102,11,tidy_all(library),False
249,1.775284,27.57972,FALSE,20.9926795261,22.832685,4.746204,10,10,True,103,103,72,tidy_all(library),False
250,1.773034,29.526356,FALSE,21.026814232,29.526003,0,6,10,False,57,103,15,tidy_all(library),False
